순번,구,가맹점,주소,동
6598,중구,스폿라이트,대전광역시 중구 중앙로 156 (은행동),은행동
17948,유성구,스푼,"대전광역시 유성구 죽동로 224, 1층 101호 (죽동,삼천빌딩)",죽동
36524,서구,스푼필라프 서구점,"대전광역시 서구 동서대로1063번길 14-11, 1층 일부호 (내동)",내동
27783,서구,스프리,"대전광역시 서구 둔산로31번길 35, 1층 (둔산동,(티갤러리빌딩))",둔산동
35102,중구,스프린,"대전광역시 중구 태평로 55, 412동 111호 (태평동,삼부아파트)",태평동
18050,동구,스프링필드,"대전광역시 동구 한밭대로1237번길 37-10, 1층 (용전동)",용전동
4553,중구,스피드 모터스,대전광역시 중구 천근로 43 (문화동),문화동
20706,대덕구,스피드덴트크리닉,대전광역시 대덕구 신탄진로 612 (상서동),상서동
2941,서구,스피드라인,대전광역시 서구 갈마로 92 (갈마동),갈마동
4181,유성구,스피드메이트 노은점,대전광역시 유성구 노은동로 79 (노은동),노은동
21556,중구,스피드메이트 대전점,대전광역시 중구 중앙로 64 (대흥동),대흥동
25914,동구,스피드메이트 덕성점,대전광역시 동구 대전로 283 (대성동),대성동
31230,서구,스피드메이트 둔산점 ,대전광역시 서구 둔산로 139 (둔산동),둔산동
14581,서구,스피드메이트 이마트둔산점,"대전광역시 서구 둔산북로 41, 1층 (둔산동)",둔산동
40042,서구,스피드메이트 트레이더스 월평점,"대전광역시 서구 한밭대로 580, 이마트 3층 (월평동)",월평동
27616,유성구,스피드메이트대전용산점,대전광역시 유성구 테크노중앙로 139 (용산동),용산동
36581,유성구,스피드메이트도안점,대전광역시 유성구 원신흥로55번길 66-5 (원신흥동),원신흥동
12107,대덕구,스피드메이트신탄진점,대전광역시 대덕구 신탄진로 610 (상서동),상서동
29050,유성구,스피드메이트유성점,대전광역시 유성구 유성대로783번길 13 (장대동),장대동
9943,유성구,스피드메이트유성지족점,대전광역시 유성구 은구비남로7번길 60 (지족동),지족동
16201,동구,스피드복사,대전광역시 동구 충정로 23 (가양동),가양동
17528,유성구,스피드세탁,대전광역시 유성구 농대로 4-1 (어은동),어은동
14883,동구,스피드소방 주식회사,대전광역시 동구 옛신탄진로67번길 4 (홍도동),홍도동
8217,서구,스피드정보통신,대전광역시 서구 갈마로 219 (괴정동),괴정동
38236,중구,스피드카센타,대전광역시 중구 문화로 36 (산성동),산성동
8517,서구,스피드카피,대전광역시 서구 계룡로339번길 7 (월평동),월평동
26991,유성구,스피드코인빨래방,"대전광역시 유성구 관들1길 27, 1층 (관평동)",관평동
26742,유성구,스피드플러스대덕점,"대전광역시 유성구 테크노중앙로 14, 3층 (관평동,대덕테크노밸리점)",관평동
28844,유성구,스핀당구장,"대전광역시 유성구 대학로 1, 4층 (봉명동)",봉명동
38883,유성구,슬기로운 한약국,"대전광역시 유성구 관평1로15, 1층 111호 (관평동,더리치타운)",관평동
35029,서구,슬기로운수학교습소,"대전광역시 서구 계백로 1135, 408호 (가수원동,MK빌딩)",가수원동
35075,유성구,슬기로운필라테스,"대전광역시 유성구 지족로 367, 201호 (지족동)",지족동
25320,유성구,슬기바둑교실바둑교습소,"대전광역시 유성구 유성대로 1741, 108호 109호 (전민동)",전민동
19396,유성구,슬기피아노교습소,"대전광역시 유성구 엑스포로 448, 분산상가 다동 109호 (전민동,엑스포아파트)",전민동
4678,중구,슬라임X래빗룸 대전은행점,"대전광역시 중구 대종로480번길 41, 2층 (은행동)",은행동
30428,서구,슬라임엔토이,"대전광역시 서구 구봉로 121, 503호 (관저동,하나로프라자)",관저동
6648,서구,슬로우리스트 (slowList),대전광역시 서구 동서대로1080번길 4 (변동),변동
31594,유성구,슬로우스텝필름,"대전광역시 유성구 지족로148번길 22, 305동 7층 704호 (지족동,엘에이치 네이처뷰)",지족동
38734,서구,슬로우캘리,"대전광역시 서구 대덕대로233번길17, 1층 (둔산동)",둔산동
39191,유성구,슬로우캘리봉명점,"대전광역시 유성구 문화원로77, 1층 106호 상가 (봉명동,그랑펠리체)",봉명동
19154,동구,슬로우커피스탠드,"대전광역시 동구 동서대로 1699-14, 1층 (용전동)",용전동
35430,유성구,슬릭헤어,"대전광역시 유성구 원신흥로55번길 53-2, 1층 103호 (원신흥동,태리안)",원신흥동
31793,서구,슬림고고,"대전광역시 서구 문정로48번길 70, 101호 (탄방동,대전우리병원빌딩)",탄방동
32966,서구,슬림점핑,"대전광역시 서구 복수중로34번길 3, 3층 303호 (복수동,모가비빌딩)",복수동
15995,서구,슬립토피아,"대전광역시 서구 용소로50번길 44, 1층 (가수원동)",가수원동
1200,유성구,승공당,대전광역시 유성구 장대동 191,장대동
7615,서구,승다식품식당,"대전광역시 서구 월평로34번길 21, 1층 (월평동)",월평동
30830,서구,승리공조,대전광역시 서구 갈마동 300-9번지 대웅빌라 105동 101호,갈마동
34526,서구,승리사,대전광역시 서구 계백로 1394-2 (도마동),도마동
33477,유성구,승리스포츠,대전광역시 유성구 대덕대로 588 (도룡동),도룡동
4737,서구,승보 약국,"대전광역시 서구 계룡로 633, 1층 (탄방동,우리빌딩)",탄방동
8662,대덕구,승승장구,대전광역시 대덕구 석봉북로9번길 24 (석봉동),석봉동
21889,서구,승승장구한식당,"대전광역시 서구 월평북로 82, 2층 (월평동)",월평동
38961,동구,승옥기획인쇄,"대전광역시 동구 태전로 47, 3층(삼성동)",삼성동
25888,동구,승인종합서비스,대전광역시 동구 가양로 66 (가양동),가양동
29362,서구,승진공구,"대전광역시 서구 동서대로 1084, 1층 (변동)",변동
20140,서구,승진상회,대전광역시 서구 변동 33-36번지,변동
24758,대덕구,승진야채,대전광역시 대덕구 중리로64번길 11 (중리동),중리동
13994,대덕구,승진철망,대전광역시 대덕구 대전로 1022 (오정동),오정동
14348,중구,승현미뷰티,"대전광역시 중구 계룡로874번길 43, 2층 (오류동)",오류동
4455,동구,승현사,대전광역시 동구 원동 60-2 국제시장 4호,원동
1528,동구,시계대학병원,"대전광역시 동구 중앙로194번길 4, 1층 (중동)",중동
6276,서구,시골 영양탕,대전광역시 서구 계룡로662번길 36 (용문동),용문동
30823,유성구,시골길관평점,"대전광역시 유성구 관들4길 21, 1층 (관평동)",관평동
35715,서구,시골돼지포차,"대전광역시 서구 괴정로134번길 16, 1층 102호 (괴정동)",괴정동
14461,중구,시골떡집,대전광역시 중구 보문로48번길 22 (부사동),부사동
