,index,순번,구,가맹점,주소,동,경도,위도
5115,35631,21337,동구,한멘뚝배기,대전광역시 동구 동서대로 1676,성남동,127.436073432929,36.3485483889273
5116,35634,13277,동구,한미기획,대전광역시 동구 태전로 36 ,정동,127.429346852059,36.3335747655946
5117,35636,16190,동구,한미반찬,대전광역시 동구 대전로779번길 22,원동,127.432539170458,36.3290344848101
5118,35637,25886,동구,한미생고기식당,대전광역시 동구 가양로 52 ,가양동,127.442347545627,36.3409308674949
5119,35642,6016,동구,한미카,대전광역시 동구 동서대로 1509 ,삼성동,127.420691056112,36.3406897783007
5120,35675,15796,동구,한밭,대전광역시 동구 계족로 409 ,홍도동,127.431570744756,36.3483698114724
5121,35680,2700,동구,한밭가방,대전광역시 동구 대전로785번길 20 ,중동,127.432302187616,36.3295418934349
5122,35682,13178,동구,한밭건어물,대전광역시 동구 새울로91번길 6-20 ,용운동,127.461368837875,36.3273570097106
5123,35691,27363,동구,한밭농산,대전광역시 동구 충무로 185 ,인동,127.436652059271,36.3217881267744
5124,35694,9867,동구,한밭당구장,대전광역시 동구 충무로 191 ,인동,127.437139464057,36.3217429986656
5125,35700,2245,동구,한밭떡집,대전광역시 동구 대전로 786-1 ,원동,127.433683014325,36.3298663611955
5126,35701,2246,동구,한밭떡집,대전광역시 동구 대전로791번길 42-2 ,중동,127.430884459243,36.3295726963356
5127,35704,12717,동구,한밭문구,대전광역시 동구 산내로 1297 ,낭월동,127.468425396125,36.2793088008922
5128,35706,25587,동구,한밭불교사,대전광역시 동구 대전로 887,삼성동,127.429027822962,36.3381174754037
5129,35713,3491,동구,한밭식당,대전광역시 동구 태전로 3 ,중동,127.430926703682,36.3309743237628
5130,35717,21414,동구,한밭열쇠  도장  철물,대전광역시 동구 우암로 323 ,가양동,127.4506708137,36.3481801698137
5131,35720,14092,동구,한밭의료기,대전광역시 동구 대전로 835 ,정동,127.430939656818,36.3339733906695
5132,35721,6939,동구,한밭자동차공업사,대전광역시 동구 산내로1352번길 15 ,낭월동,127.467367498708,36.2835515607143
5133,35722,27464,동구,한밭자이이쌤수학교습소,대전광역시 동구 동서대로1520번길 22,삼성동,127.42271807435,36.3402684456001
5134,35738,16386,동구,한밭하이퍼마켓,대전광역시 동구 옻밭2길 71 ,판암동,127.449093212951,36.3209253853347
5135,35740,25511,동구,한밭화원,대전광역시 동구 우암로 175-1 ,성남동,127.436772914745,36.3413669930865
5136,35744,17797,동구,한복대여점,대전광역시 동구 중교로 119 ,원동,127.432202050797,36.3285919650311
5137,35747,4600,동구,한빛,대전광역시 동구 대전로791번길 3,중동,127.43291906446,36.3302022955834
5138,35764,33150,동구,한빛세탁소,대전광역시 동구 계족로 65,인동,127.44330348261,36.3217415652928
5139,35775,24307,동구,한빛애드월드,대전광역시 동구 대전로 913,삼성동,127.426914411752,36.3398160085303
5140,35786,22073,동구,한빛종합상사,대전광역시 동구 대전로 395 ,가오동,127.45563528597,36.302255701152
5141,35792,31102,동구,한빛축산 ,대전광역시 동구 백룡로14번길 6,자양동,127.448357278329,36.335688779368
5142,35793,12648,동구,한빛치과,대전광역시 동구 흥룡로 49 ,가양동,127.448851848952,36.3497092770757
5143,35807,2495,동구,한사랑약국,대전광역시 동구 대전천동로 574 ,중동,127.428209039819,36.3315265092398
5144,35815,37295,동구,한살림,대전광역시 동구 대전로 15,구도동,127.471097620914,36.2724320106665
5145,35816,26279,동구,한살림대전생활협동조합 가오매장,대전광역시 동구 신기로 109,가오동,127.457718238241,36.3112082562661
5146,35825,1534,동구,한상모락모락도시락,대전광역시 동구 대전로 474,가오동,127.451113309008,36.30799614874
5147,35833,21904,동구,한샘이펙스오피,대전광역시 동구 동대전로248번길 79 ,가양동,127.451054093982,36.3453906744337
5148,35840,4322,동구,한성 식당,대전광역시 동구 원동 61-4,원동,127.431872157481,36.3277226209024
5149,35843,37959,동구,한성농수산,대전광역시 동구 동서대로1748번길 102-2 ,가양동,127.447683296612,36.3495442401793
5150,35848,35197,동구,한성상회,대전광역시 동구 중동 30-3,중동,127.429247735293,36.3313231728369
5151,35849,35234,동구,한성소국밥,대전광역시 동구 계족로368번길 80,성남동,127.438165648883,36.3445717869735
5152,35853,1227,동구,한성짜장,대전광역시 동구 우암로311번길 42 ,가양동,127.448823095387,36.3490861339864
5153,35861,9244,동구,한솔블라인드,대전광역시 동구 계족로475번길 14 ,용전동,127.43169684214,36.3544621872703
5154,35867,24869,동구,한솔약국,대전광역시 동구 계족로 393-1 ,성남동,127.432044150826,36.3468088901672
5155,35873,12641,동구,한솔의원,대전광역시 동구 옥천로180번길 18 ,판암동,127.460600420312,36.3165382860233
5156,35880,21400,동구,한솔체육관,대전광역시 동구 가양동 646-8번지,가양동,127.446204917047,36.3528890646882
5157,35887,9420,동구,한솥도시락,대전광역시 동구 동대전로131번길 8-5,자양동,127.445257389355,36.3344153828234
5158,35890,12867,동구,한솥도시락  가오점,대전광역시 동구 동구청로 101,가오동,127.456169939554,36.3070582092672
5159,35892,22998,동구,한솥도시락 대전대서문점,대전광역시 동구 대학로 78-1,용운동,127.457244517597,36.3367827481964
5160,35905,10454,동구,한솥도시락보건대사거리점,대전광역시 동구 충정로 5,가양동,127.452348831582,36.3490657203243
5161,35910,18794,동구,한수산,대전광역시 동구 합내로 51 ,가양동,127.440094589358,36.3476840210874
5162,35913,3992,동구,한수위제주포크,대전광역시 동구 원동 46-6,원동,127.433554443989,36.3282702134423
5163,35915,5280,동구,한숲 셀프 세탁,대전광역시 동구 계족로 465-35 ,용전동,127.430398133476,36.3533873573447
5164,35918,3517,동구,한숲떡방앗간,대전광역시 동구 홍도로46번길 78,용전동,127.429370876811,36.3532716475912
5165,35924,31589,동구,한스발달지원센터,대전광역시 동구 동대전로 81,대동,127.443046631012,36.3300152279043
5166,35933,17255,동구,한시오분,대전광역시 동구 태전로 133 ,삼성동,127.421669675553,36.3399987327762
